,ExitTime,FR,LWR
64,2115.9166666666665,0.0,3.0
65,2116.9166666666665,0.0,4.0
66,2117.9166666666665,0.0,4.0
67,2118.9166666666665,0.0,4.0
68,2119.9166666666665,0.0,3.0
69,2120.9166666666665,0.0,5.0
70,2121.9166666666665,0.0,3.0
71,2122.9166666666665,0.0,4.0
72,2123.9166666666665,0.0,3.0
73,2124.9166666666665,0.0,5.0
74,2125.9166666666665,0.0,3.0
75,2126.9166666666665,0.0,4.0
76,2127.9166666666665,0.0,4.0
77,2128.9166666666665,0.0,4.0
78,2129.9166666666665,0.0,3.0
79,2130.9166666666665,0.0,6.0
80,2131.9166666666665,0.0,3.0
81,2132.9166666666665,0.0,5.0
82,2133.9166666666665,0.4,3.0
83,2134.9166666666665,0.0,5.0
84,2135.9166666666665,0.4,3.0
85,2136.9166666666665,0.4,4.0
86,2137.9166666666665,0.4,3.0
87,2138.9166666666665,0.4,5.0
88,2139.9166666666665,0.4,2.0
89,2140.9166666666665,0.4,4.0
90,2141.9166666666665,0.4,3.0
91,2142.9166666666665,0.0,6.0
92,2143.9166666666665,0.4,2.0
93,2144.9166666666665,0.4,4.0
94,2145.9166666666665,0.4,4.0
95,2146.9166666666665,0.0,5.0
96,2147.9166666666665,0.4,3.0
97,2148.9166666666665,0.4,5.0
98,2149.9166666666665,0.8,2.0
100,2150.9166666666665,0.0,4.0
101,2151.9166666666665,0.4,3.0
102,2152.9166666666665,2.0,0.0
103,2153.9166666666665,1.6,0.0
104,2154.9166666666665,0.4,0.0
106,2155.9166666666665,0.8,0.0
108,2156.9166666666665,2.0,0.0
2444,2157.9166666666665,0.0,0.0
110,2158.9166666666665,2.0,0.0
111,2159.9166666666665,2.0,0.0
112,2160.9166666666665,2.0,0.0
113,2161.9166666666665,1.6,0.0
2499,2162.9166666666665,0.0,0.0
115,2163.9166666666665,2.0,0.0
116,2164.9166666666665,2.0,0.0
117,2165.9166666666665,0.8,0.0
119,2166.9166666666665,2.0,0.0
120,2167.9166666666665,1.2,0.0
122,2168.9166666666665,2.0,0.0
123,2169.9166666666665,2.0,0.0
124,2170.9166666666665,2.0,0.0
125,2171.9166666666665,2.0,0.0
126,2172.9166666666665,2.0,0.0
127,2173.9166666666665,2.0,0.0
128,2174.9166666666665,2.0,0.0
129,2175.9166666666665,3.2,0.0
130,2176.9166666666665,3.2,0.0
